区站号,Y,X,降雨量,降雨量20-26,总降雨量
50136,52.96666667,122.5166667,71.4,44.7,116.10000000000001
50137,53.46666667,122.3666667,105.6,57.8,163.39999999999998
50246,52.35,124.7166667,57.3,14.0,71.3
50247,52.03333333,123.5666667,56.7,14.5,71.2
50349,51.66666667,124.4,38.1,9.1,47.2
50353,51.73333333,126.6333333,97.6,17.0,114.6
50425,50.25,120.1833333,48.2,0.6000000000000001,48.800000000000004
50431,50.78333333,121.5166667,42.4,3.9,46.3
50434,50.48333333,121.6833333,45.7,5.0,50.7
50442,50.4,124.1166667,57.7,28.1,85.80000000000001
50445,50.58333333,123.7333333,23.3,19.6,42.900000000000006
50468,50.25,127.45,100.0,18.5,118.5
50514,49.58333333,117.3166667,6.1,1.1,7.199999999999999
50524,49.31666667,119.4333333,19.5,0.1,19.6
50525,49.15,119.75,72.7,26.7,99.4
50526,49.28333333,120.7,58.4,20.4,78.8
50527,49.25,119.7,57.7,31.4,89.1
50548,49.2,123.7166667,55.2,11.5,66.7
50557,49.16666667,125.2333333,156.6,20.1,176.7
50564,49.43333333,127.35,167.9,129.4,297.3
50566,49.55,128.4666667,22.0,19.1,41.1
50603,48.66666667,116.8166667,2.3,1.4,3.6999999999999997
50618,48.21666667,118.2666667,55.4,39.6,95.0
50639,48.0,122.7333333,97.0,21.2,118.2
50645,48.48333333,124.4833333,207.3,38.0,245.3
50646,48.48333333,124.85,226.3,36.5,262.8
50647,48.13333333,123.4833333,142.8,34.3,177.10000000000002
50655,48.5,126.1833333,58.3,35.7,94.0
50656,48.25,126.5,95.0,83.0,178.0
50658,48.05,125.8833333,90.1,59.9,150.0
50659,48.03333333,126.25,136.6,105.6,242.2
50673,48.88333333,130.4,54.7,36.6,91.30000000000001
50674,48.56666667,129.4333333,83.5,27.7,111.2
50727,47.16666667,119.9333333,50.3,38.0,88.3
50739,47.33333333,123.1833333,142.7,42.6,185.29999999999998
50741,47.93333333,123.5,154.8,29.7,184.5
50742,47.8,124.4833333,131.7,60.7,192.39999999999998
50745,47.38333333,123.9166667,64.4,36.9,101.30000000000001
50749,47.18333333,124.8333333,88.0,77.6,165.6
50750,47.9,125.3,94.7,46.5,141.2
50755,47.6,126.1,90.4,59.5,149.9
50756,47.45,126.9666667,60.5,16.7,77.2
50758,47.18333333,125.9,40.3,11.9,52.199999999999996
50767,47.23333333,127.1,71.3,53.1,124.4
50772,48.1,129.2333333,105.6,55.8,161.39999999999998
50774,47.7,128.8333333,114.3,71.0,185.3
50775,47.33333333,130.2,34.5,19.700000000000003,54.2
50776,47.56666667,130.8333333,87.7,51.9,139.6
50778,47.66666667,132.5333333,4.5,0.0,4.5
50779,48.36666667,134.2833333,12.3,10.1,22.4
50787,47.31666667,131.8333333,24.7,12.2,36.9
50788,47.23333333,131.9833333,41.0,10.3,51.3
50834,46.6,121.2166667,96.2,81.7,177.9
50842,46.83333333,124.4166667,84.5,81.30000000000001,165.8
50844,46.4,123.45,89.8,88.5,178.3
50850,46.56666667,125.1333333,44.3,29.1,73.4
50851,46.68333333,126.0833333,100.3,69.7,170.0
50852,46.83333333,126.45,104.1,81.6,185.7
50853,46.61666667,126.9666667,84.5,60.1,144.6
50854,46.38333333,125.3166667,41.0,23.1,64.1
50858,46.06666667,125.9333333,83.4,81.3,164.7
50859,46.28333333,126.2833333,109.1,82.3,191.39999999999998
50861,46.88333333,127.4833333,133.7,119.9,253.6
50862,46.98333333,127.9833333,98.6,60.2,158.8
50867,46.08333333,127.35,9.4,0.8999999999999999,10.3
50871,46.73333333,129.8833333,34.9,0.0,34.9
50873,46.78333333,130.3,2.0,0.0,2.0
50877,46.3,129.5833333,0.2,0.1,0.30000000000000004
50878,47.0,130.7166667,77.2,23.9,101.1
50879,46.21666667,130.55,1.0,0.1,1.1
50880,46.73333333,131.1166667,84.2,36.3,120.5
50884,46.63333333,131.15,32.7,9.7,42.400000000000006
50888,46.31666667,132.1833333,23.3,10.4,33.7
50892,46.8,134.0,29.9,26.8,56.7
50913,45.71666667,118.8333333,26.5,23.6,50.1
50915,45.51666667,116.9666667,36.7,29.0,65.7
50924,45.53333333,119.6666667,88.9,59.1,148.0
50928,45.06666667,120.3333333,19.3,16.2,35.5
50934,45.38333333,121.5833333,72.3,17.8,90.1
50936,45.63333333,122.8333333,28.6,27.1,55.7
50937,45.06666667,121.4833333,17.3,12.2,29.5
50939,45.33333333,122.8166667,59.6,43.7,103.30000000000001
50940,45.85,123.1666667,1000079.5,1000069.8,2000149.3
50945,45.5,124.2666667,80.9,78.6,159.5
50946,45.18333333,124.8333333,62.6,62.6,125.2
50948,45.0,124.0166667,29.3,27.5,56.8
50949,45.08333333,124.8666667,1000045.4,1000044.9,2000090.3
50950,45.7,125.25,103.7,103.2,206.9
50953,45.93333333,126.5666667,6.3,3.7,10.0
50954,45.5,125.0833333,61.6,61.6,123.2
50956,46.08333333,126.7666667,102.6,58.2,160.8
50958,45.53333333,126.9333333,2.9,0.8,3.7
50960,45.73333333,127.3833333,29.4,0.6,30.0
50962,45.95,128.0333333,15.2,2.6,17.8
50963,45.96666667,128.7333333,2.2,1.7000000000000002,3.9000000000000004
50964,45.83333333,128.8,9.6,0.2,9.799999999999999
50965,45.43333333,128.2666667,5.1,0.0,5.1
50968,45.21666667,127.9666667,0.6,0.0,0.6
50971,45.76666667,131.0166667,15.6,1.0,16.6
50973,45.75,130.6,56.1,39.3,95.4
50978,45.3,130.9166667,0.1,0.1,0.2
50979,45.26666667,130.2333333,11.4,5.4,16.8
50983,45.76666667,132.9666667,1.2,0.0,1.2
50985,45.55,131.8666667,1.3,1.2,2.5
50987,45.26666667,131.1,35.1,7.1,42.2
51053,48.05,86.4,10.5,7.7,18.2
51058,47.1,87.96666667,0.2,0.0,0.2
51060,47.7,86.86666667,2.3,0.3,2.5999999999999996
51068,47.11666667,87.46666667,0.8,0.8,1.6
51076,47.73333333,88.08333333,0.8,0.5,1.3
51087,46.98333333,89.51666667,1.0,0.0,1.0
